ts,attempt,status,elapsed_ms,error
2026-09-14T22:23:29.966+00:00,0,OK,7.5,
2026-09-14T22:23:30.472+00:00,1,OK,5.2,
2026-09-14T22:23:30.978+00:00,2,OK,5.8,
2026-09-14T22:23:31.485+00:00,3,OK,6.3,
2026-09-14T22:23:31.991+00:00,4,OK,6.6,
2026-09-14T22:23:32.498+00:00,5,OK,6.5,
2026-09-14T22:23:33.009+00:00,6,OK,11.1,
2026-09-14T22:23:33.520+00:00,7,OK,10.3,
2026-09-14T22:23:34.027+00:00,8,OK,6.5,
2026-09-14T22:23:34.534+00:00,9,OK,6.9,
2026-09-14T22:23:35.040+00:00,10,OK,5.2,
2026-09-14T22:23:35.549+00:00,11,OK,8.6,
2026-09-14T22:23:36.056+00:00,12,OK,6.8,
2026-09-14T22:23:36.569+00:00,13,OK,13.5,
2026-09-14T22:23:37.077+00:00,14,OK,6.8,
2026-09-14T22:23:37.582+00:00,15,OK,4.9,
2026-09-14T22:23:38.087+00:00,16,OK,5.3,
2026-09-14T22:23:38.596+00:00,17,OK,8.2,
2026-09-14T22:23:39.103+00:00,18,OK,6.4,
2026-09-14T22:23:39.610+00:00,19,OK,7.3,
2026-09-14T22:23:40.116+00:00,20,OK,5.0,
2026-09-14T22:23:40.622+00:00,21,OK,6.4,
2026-09-14T22:23:41.128+00:00,22,OK,5.5,
2026-09-14T22:23:41.634+00:00,23,OK,5.8,
2026-09-14T22:23:42.145+00:00,24,OK,10.6,
2026-09-14T22:23:42.649+00:00,25,OK,5.7,
2026-09-14T22:23:43.165+00:00,26,OK,15.8,
2026-09-14T22:23:43.671+00:00,27,OK,5.8,
2026-09-14T22:23:44.180+00:00,28,OK,8.9,
2026-09-14T22:23:44.686+00:00,29,OK,5.6,
2026-09-14T22:23:45.192+00:00,30,OK,5.8,
2026-09-14T22:23:45.702+00:00,31,OK,9.5,
2026-09-14T22:23:46.208+00:00,32,OK,5.6,
2026-09-14T22:23:46.713+00:00,33,OK,5.1,
2026-09-14T22:23:47.218+00:00,34,OK,4.5,
2026-09-14T22:23:47.725+00:00,35,OK,6.7,
2026-09-14T22:23:48.234+00:00,36,OK,9.6,
2026-09-14T22:23:48.741+00:00,37,OK,6.2,
2026-09-14T22:23:49.246+00:00,38,OK,5.0,
2026-09-14T22:23:49.767+00:00,39,OK,20.4,
2026-09-14T22:23:50.275+00:00,40,OK,7.5,
2026-09-14T22:23:50.781+00:00,41,OK,5.9,
2026-09-14T22:23:51.294+00:00,42,OK,12.8,
2026-09-14T22:23:51.799+00:00,43,OK,4.9,
2026-09-14T22:23:52.306+00:00,44,OK,7.1,
2026-09-14T22:23:52.812+00:00,45,OK,5.2,
2026-09-14T22:23:53.318+00:00,46,OK,6.0,
2026-09-14T22:23:53.823+00:00,47,OK,4.2,
2026-09-14T22:23:54.329+00:00,48,OK,6.1,
2026-09-14T22:23:54.836+00:00,49,OK,6.6,
2026-09-14T22:23:55.343+00:00,50,OK,7.2,
2026-09-14T22:23:55.849+00:00,51,OK,6.1,
2026-09-14T22:23:56.355+00:00,52,OK,5.7,
2026-09-14T22:23:56.860+00:00,53,OK,4.9,
2026-09-14T22:23:57.373+00:00,54,OK,12.1,
2026-09-14T22:23:57.884+00:00,55,OK,11.2,
2026-09-14T22:23:58.390+00:00,56,OK,5.5,
2026-09-14T22:23:58.901+00:00,57,OK,10.7,
2026-09-14T22:24:03.988+00:00,58,OK,4587.0,
2026-09-14T22:24:04.494+00:00,59,OK,5.7,
